county,fips,date,wrf_pm,wrf_nf_pm,wrf_smk_pm,geo_wt_pm,global_reg_pm,krig_pm,background_pm,geo_smk_pm,global_smk_pm,krig_smk_pm,wrf_temp,wrf_pbl
Whitman,075,2012-07-27,10.0669577629788,15.2220433119237,0,9.50354878166571,9.92951290957026,9.8376193237672,6.83957592036849,2.66397286129722,3.08993698920177,2.99804340339872,295.863042486733,1222.35740874064
Whitman,075,2012-07-28,13.7424415774283,10.8149118483273,2.92752972910094,6.07389564521072,6.80855920125018,6.2472217104856,6.83957592036849,0.0266691231507291,0.117473711090983,0.0437273494376776,296.27673078398,1056.25110823956
Whitman,075,2012-07-29,13.0930037241129,10.7987479793379,2.294255744775,5.4138330857099,6.1239702377623,5.56064170034116,6.83957592036849,0.000276288912218067,0.0089742051090302,0.00148485312633091,297.114616366023,1148.72821083907
Whitman,075,2012-07-30,12.473527566545,13.2135847788634,0.0120373969464359,5.4743198063321,6.19509341823468,5.6144624666753,6.83957592036849,0.000115765666602761,0.00899333157487223,0.000605357047868554,296.056109855877,1206.13148340021
Whitman,075,2012-07-31,14.6635167729639,11.5782000595161,3.08531671344788,5.01239344792019,5.83978461717957,5.13001818769682,6.83957592036849,0,0.000829962879432263,0,297.313164731673,1039.87768106279
Whitman,075,2012-08-01,13.9912633020894,12.1628367970753,1.83466884434205,5.34960542159456,6.09824635189236,5.48893726022702,6.83957592036849,0,0,0,298.258313310867,1378.31487105081
Whitman,075,2012-08-02,12.2963221876524,12.0610606429064,0.235261544745975,5.99931641330892,6.70335128199061,6.16172739900916,6.83957592036849,0.0168213877153642,0.0607408535990485,0.0226899626947906,296.222234566647,1741.41035251934
Whitman,075,2012-08-03,10.9421472450519,10.3818035553543,0.560343689697552,4.23428221070433,4.84410868474999,4.33682752658553,6.83957592036849,0,0,0,297.01313426696,1600.60902460015
Whitman,075,2012-08-04,19.4374559153571,6.49849496106229,12.9389609542948,4.26234099681135,5.43390985885384,4.31271972812245,6.83957592036849,0,0,0,302.40050792333,1300.31620756451
Whitman,075,2012-08-05,25.1147787155686,7.07724184250656,18.037536873062,4.93048763200979,6.52904149604899,4.95545046871305,6.83957592036849,0,0.00180880673623072,0,304.832452989274,1360.72812033843
Whitman,075,2012-08-06,16.6236909114772,10.5408487742935,6.08284213718365,6.87256594749253,7.86859059688293,7.03418733423019,6.83957592036849,0.0647319081135227,1.02901467651445,0.202597037083005,303.882741461483,1460.30240486665
Whitman,075,2012-08-07,19.5883218564001,11.4929274492797,8.09539440712041,8.47978519680857,9.69701517359606,8.67429368739996,6.83957592036849,1.64024488711082,2.85743925322758,1.83471776703147,306.127465197544,1255.91691236826
Whitman,075,2012-08-08,20.9465538091004,15.7141209603163,5.23243284878406,8.17690366202777,9.39212432568947,8.37523681894019,6.83957592036849,1.33740588240468,2.55254840532099,1.53566089857171,300.332507272231,1046.1832362852
Whitman,075,2012-08-09,20.4541670456864,14.6413925731648,5.81277447252163,5.3966941931394,6.63421908628887,5.4767476265849,6.83957592036849,0,0.000353028453262527,0,302.077440110909,947.697483186329
