WRFGRID_ID,Longitude,Latitude,
 362,-122.471, 46.80578,   19.657
 363,-122.490, 46.94485,   60.568
 364,-122.509, 47.08393,   82.032
 365,-122.528, 47.22298, 1563.066
 366,-122.547, 47.36203,  314.585
 367,-122.567, 47.50106,  193.406
 368,-122.586, 47.64008,  273.500
 369,-122.606, 47.77909,  186.639
 370,-122.626, 47.91807,   54.273
 371,-122.646, 48.05704,      NaN
 372,-122.666, 48.19600,   64.631
 373,-122.686, 48.33493,  599.723
 374,-122.706, 48.47384,  220.606
 375,-122.726, 48.61274,   14.904
 376,-122.747, 48.75161,   36.715
 377,-122.767, 48.89047,  125.662
 378,-122.788, 49.02930,  100.286
 379,-122.087, 45.42710,   10.991
 380,-122.104, 45.56628,    8.546
 381,-122.122, 45.70545,    7.790
 382,-122.140, 45.84461,    1.122
 383,-122.158, 45.98377,    0.032
 384,-122.176, 46.12293,    0.032
 385,-122.194, 46.26208,    0.032
 386,-122.212, 46.40123,    2.678
 387,-122.230, 46.54036,    5.795
 388,-122.249, 46.67949,    3.746
 389,-122.267, 46.81862,   10.874
 390,-122.286, 46.95773,   64.533
 391,-122.304, 47.09683,  435.602
 392,-122.323, 47.23592,  741.401
 393,-122.342, 47.37499, 2124.890
 394,-122.361, 47.51406, 2075.485
 395,-122.380, 47.65311, 4238.351
 396,-122.399, 47.79215, 1410.899
 397,-122.418, 47.93117,  113.746
 398,-122.438, 48.07017,  104.480
 399,-122.457, 48.20916,      NaN
 400,-122.477, 48.34813,      NaN
 401,-122.496, 48.48707,   63.862
 402,-122.516, 48.62600,      NaN
 403,-122.536, 48.76490, 1040.669
 404,-122.556, 48.90379,  129.781
 405,-122.576, 49.04265,      NaN
 406,-121.889, 45.43929,    9.552
 407,-121.906, 45.57849,    4.944
 408,-121.923, 45.71768,   20.201
 409,-121.940, 45.85688,   17.682
 410,-121.958, 45.99607,    0.032
 411,-121.975, 46.13526,    0.032
 412,-121.993, 46.27444,    0.032
 413,-122.010, 46.41362,    3.032
 414,-122.028, 46.55278,    2.616
 415,-122.046, 46.69195,    3.747
 416,-122.064, 46.83110,   10.591
 417,-122.082, 46.97025,    4.930
 418,-122.100, 47.10938,   77.378
 419,-122.118, 47.24850,  147.302
 420,-122.137, 47.38761,  620.090
 421,-122.155, 47.52670,  767.374
 422,-122.174, 47.66578, 1404.138
 423,-122.192, 47.80485,  752.160
 424,-122.211, 47.94390, 1009.485
 425,-122.230, 48.08294,  413.511
 426,-122.249, 48.22195,  120.402
 427,-122.268, 48.36095,   25.368
 428,-122.287, 48.49994,  182.780
 429,-122.306, 48.63889,   39.382
 430,-122.325, 48.77784,   73.492
 431,-122.344, 48.91675,   53.317
 432,-122.364, 49.05565,      NaN
 433,-121.690, 45.45112,    4.253
 434,-121.707, 45.59035,    4.249
 435,-121.723, 45.72957,    8.217
 436,-121.740, 45.86880,    0.182
 437,-121.757, 46.00803,    0.032
 438,-121.774, 46.14724,    0.032
 439,-121.791, 46.28645,    0.032
 440,-121.808, 46.42566,    1.593
 441,-121.826, 46.56485,    2.139
 442,-121.843, 46.70404,    3.645
 443,-121.861, 46.84323,    1.598
 444,-121.878, 46.98240,    1.598
 445,-121.896, 47.12157,    1.598
 446,-121.913, 47.26072,   32.779
 447,-121.931, 47.39986,   51.247
 448,-121.949, 47.53899,   81.341
 449,-121.967, 47.67809,  149.954
 450,-121.985, 47.81720,   58.860
 451,-122.003, 47.95628,  105.192
 452,-122.021, 48.09535,   18.589
 453,-122.040, 48.23440,   29.855
 454,-122.058, 48.37342,    3.041
 455,-122.077, 48.51244,    4.504
 456,-122.095, 48.65143,    7.154
 457,-122.114, 48.79039,    1.696
 458,-122.133, 48.92935,    1.696
 459,-122.152, 49.06828,      NaN
 460,-121.492, 45.46261,    4.755
 461,-121.508, 45.60186,   28.390
 462,-121.524, 45.74112,  128.589
 463,-121.540, 45.88037,   11.928
 464,-121.557, 46.01962,   11.928
 465,-121.573, 46.15887,    0.247
 466,-121.590, 46.29811,    0.032
 467,-121.607, 46.43735,    1.799
 468,-121.623, 46.57657,    2.139
 469,-121.640, 46.71580,    2.139
 470,-121.657, 46.85501,    1.598
 471,-121.674, 46.99421,    1.598
 472,-121.691, 47.13340,    1.499
 473,-121.708, 47.27258,    0.041
 474,-121.726, 47.41175,    1.040
 475,-121.743, 47.55091,    6.741
 476,-121.760, 47.69005,    9.478
 477,-121.778, 47.82918,   13.287
 478,-121.796, 47.96829,   15.082
 479,-121.813, 48.10739,   15.649
 480,-121.831, 48.24647,    1.755
 481,-121.849, 48.38553,    2.817
 482,-121.867, 48.52457,    2.508
 483,-121.885, 48.66359,    4.884
 484,-121.903, 48.80260,    1.696
 485,-121.922, 48.94157,    1.696
 486,-121.940, 49.08053,      NaN
 487,-121.293, 45.47375,    2.646
 488,-121.309, 45.61303,   19.570
 489,-121.324, 45.75232,    5.316
 490,-121.340, 45.89160,   10.322
 491,-121.356, 46.03088,    2.814
 492,-121.372, 46.17015,    1.674
 493,-121.388, 46.30942,    1.674
 494,-121.404, 46.44869,    1.773
 495,-121.421, 46.58794,    2.869
 496,-121.437, 46.72719,    2.356
 497,-121.453, 46.86644,    2.998
 498,-121.470, 47.00566,    2.043
 499,-121.486, 47.14489,    0.386
 500,-121.503, 47.28409,    0.041
 501,-121.520, 47.42328,    1.063
 502,-121.537, 47.56248,    0.904
 503,-121.554, 47.70165,    0.756
 504,-121.571, 47.84081,   12.797
 505,-121.588, 47.97995,   14.787
 506,-121.605, 48.11907,   16.061
 507,-121.622, 48.25818,    1.755
 508,-121.640, 48.39727,    2.516
 509,-121.657, 48.53634,    2.318
 510,-121.675, 48.67540,    1.909
 511,-121.692, 48.81442,    1.696
 512,-121.710, 48.95343,    1.696
 513,-121.728, 49.09242,      NaN
 514,-121.094, 45.48454,    0.863
 515,-121.109, 45.62386,   38.198
 516,-121.125, 45.76317,    5.316
 517,-121.140, 45.90248,    4.765
 518,-121.156, 46.04178,    2.811
 519,-121.171, 46.18108,    1.674
 520,-121.187, 46.32038,    1.674
 521,-121.202, 46.45967,    1.677
 522,-121.218, 46.59896,    3.019
 523,-121.234, 46.73823,    3.019
 524,-121.250, 46.87750,    3.019
 525,-121.266, 47.01676,    3.019
 526,-121.282, 47.15601,    3.223
 527,-121.298, 47.29525,    3.383
 528,-121.314, 47.43447,    3.411
 529,-121.330, 47.57369,    0.829
 530,-121.347, 47.71288,    0.756
 531,-121.363, 47.85207,   12.797
 532,-121.380, 47.99123,    5.792
 533,-121.396, 48.13039,    1.755
 534,-121.413, 48.26952,    1.755
 535,-121.430, 48.40864,    2.318
 536,-121.447, 48.54774,    2.318
 537,-121.464, 48.68683,    1.828
 538,-121.481, 48.82588,    1.696
 539,-121.498, 48.96492,    1.696
 540,-121.515, 49.10394,      NaN
 541,-120.896, 45.49500,    0.877
 542,-120.910, 45.63433,    1.393
 543,-120.925, 45.77368,    5.202
 544,-120.940, 45.91301,    2.814
 545,-120.955, 46.05233,    2.527
 546,-120.970, 46.19167,    1.674
 547,-120.985, 46.33098,    1.674
 548,-121.000, 46.47031,    1.801
 549,-121.015, 46.60962,    3.019
 550,-121.031, 46.74892,    3.037
 551,-121.046, 46.88822,    3.023
 552,-121.061, 47.02750,    3.225
 553,-121.077, 47.16677,    3.226
 554,-121.093, 47.30605,    3.411
 555,-121.108, 47.44529,    3.411
 556,-121.124, 47.58453,    3.333
 557,-121.140, 47.72376,    1.220
 558,-121.156, 47.86297,    8.255
 559,-121.172, 48.00217,    4.970
 560,-121.188, 48.14135,    1.755
 561,-121.204, 48.28051,    1.755
 562,-121.220, 48.41966,    2.318
 563,-121.237, 48.55878,    2.318
 564,-121.253, 48.69789,    1.756
 565,-121.270, 48.83698,    1.696
 566,-121.286, 48.97604,    1.696
 567,-121.303, 49.11509,      NaN
 568,-120.697, 45.50510,    1.018
 569,-120.711, 45.64446,    1.018
 570,-120.725, 45.78383,    2.763
 571,-120.740, 45.92319,    2.814
 572,-120.754, 46.06254,    2.241
 573,-120.768, 46.20190,    1.674
 574,-120.783, 46.34125,    1.674
 575,-120.798, 46.48058,    1.674
 576,-120.812, 46.61992,   12.135
 577,-120.827, 46.75925,   13.707
 578,-120.842, 46.89857,    3.034
 579,-120.857, 47.03789,    3.226
 580,-120.872, 47.17719,    3.272
 581,-120.887, 47.31648,    3.411
 582,-120.902, 47.45576,    8.263
 583,-120.918, 47.59502,    2.648
 584,-120.933, 47.73428,    2.648
 585,-120.948, 47.87352,    2.648
 586,-120.964, 48.01274,    2.648
 587,-120.979, 48.15194,    2.182
 588,-120.995, 48.29114,    0.862
 589,-121.011, 48.43031,    0.858
 590,-121.027, 48.56947,    2.318
 591,-121.042, 48.70860,    1.696
 592,-121.058, 48.84771,    1.696
 593,-121.074, 48.98681,    1.696
 594,-121.091, 49.12587,      NaN
 595,-120.498, 45.51486,    0.954
 596,-120.512, 45.65424,    0.898
 597,-120.525, 45.79364,    2.814
 598,-120.539, 45.93301,    2.814
 599,-120.553, 46.07240,    1.974
 600,-120.567, 46.21178,    1.674
 601,-120.581, 46.35115,   18.937
 602,-120.595, 46.49052,   16.656
 603,-120.610, 46.62989,  791.801
 604,-120.624, 46.76924,   43.275
 605,-120.638, 46.90858,    3.177
 606,-120.653, 47.04791,   49.325
 607,-120.667, 47.18724,    2.256
 608,-120.682, 47.32656,    3.411
 609,-120.696, 47.46587,    9.459
 610,-120.711, 47.60516,    2.653
 611,-120.726, 47.74443,    2.648
 612,-120.741, 47.88370,    2.648
 613,-120.756, 48.02295,    2.404
 614,-120.771, 48.16218,    0.877
 615,-120.786, 48.30139,    0.853
 616,-120.801, 48.44059,    0.853
 617,-120.816, 48.57977,    2.232
 618,-120.832, 48.71893,    1.696
 619,-120.847, 48.85807,    1.696
 620,-120.863, 48.99719,    0.782
 621,-120.878, 49.13629,      NaN
 622,-120.299, 45.52427,    0.685
 623,-120.312, 45.66369,    0.685
 624,-120.325, 45.80309,    2.814
 625,-120.339, 45.94250,    2.814
 626,-120.352, 46.08191,    1.713
 627,-120.366, 46.22131,    1.674
 628,-120.379, 46.36071,   19.256
 629,-120.393, 46.50010,   23.348
 630,-120.407, 46.63949,   82.435
 631,-120.420, 46.77886,    4.238
 632,-120.434, 46.91823,    3.549
 633,-120.448, 47.05759,    2.269
 634,-120.462, 47.19695,    2.256
 635,-120.476, 47.33628,    8.763
 636,-120.490, 47.47561,   18.098
 637,-120.504, 47.61493,    9.458
 638,-120.519, 47.75423,    1.204
 639,-120.533, 47.89352,    0.853
 640,-120.547, 48.03279,    0.853
 641,-120.562, 48.17205,    0.853
 642,-120.576, 48.31129,    1.225
 643,-120.591, 48.45051,    0.519
 644,-120.606, 48.58972,    0.513
 645,-120.621, 48.72890,    0.513
 646,-120.635, 48.86807,    0.513
 647,-120.650, 49.00721,    0.513
 648,-120.665, 49.14634,      NaN
 649,-120.100, 45.53334,    0.685
 650,-120.113, 45.67277,    0.685
 651,-120.125, 45.81220,    2.017
 652,-120.138, 45.95163,    2.814
 653,-120.151, 46.09106,    1.674
 654,-120.164, 46.23049,    1.678
 655,-120.177, 46.36992,   28.336
 656,-120.190, 46.50932,   18.754
 657,-120.204, 46.64874,    6.768
 658,-120.217, 46.78813,    3.731
 659,-120.230, 46.92752,    3.549
 660,-120.243, 47.06691,    2.256
 661,-120.257, 47.20628,    2.256
