Longitude,Latitude,YearDay
-121.506,46.115,2012254
-121.52,46.113,2012254
-121.523,46.123,2012254
-121.526,46.133,2012254
-121.534,46.111,2012254
-121.548,46.109,2012254
-121.551,46.119,2012254
-121.554,46.129,2012254
-121.568,46.127,2012254
-122.71,46.919,2012254
-122.724,46.917,2012254
-118.443,47.557,2012255
-118.453,47.596,2012255
-118.471,47.493,2012255
-118.486,47.552,2012255
-118.489,47.562,2012255
-118.497,47.591,2012255
-118.503,47.56,2012255
-118.515,47.549,2012255
-118.525,47.588,2012255
-118.532,47.496,2012255
-118.557,47.594,2012255
-118.586,47.591,2012255
-119.057,48.009,2012255
-119.078,48.087,2012255
-119.09,48.076,2012255
-119.093,48.085,2012255
-119.098,48.105,2012255
-119.11,48.093,2012255
-119.113,48.103,2012255
-119.124,48.092,2012255
-119.127,48.101,2012255
-119.151,48.078,2012255
-119.156,48.098,2012255
-119.168,48.086,2012255
-119.171,48.096,2012255
-119.176,48.116,2012255
-119.145,47.947,2012255
-119.186,48.094,2012255
-119.184,48.034,2012255
-119.203,48.102,2012255
-119.206,48.112,2012255
-119.232,48.099,2012255
-119.235,48.108,2012255
-119.225,48.019,2012255
-119.228,48.028,2012255
-119.247,48.097,2012255
-119.249,48.107,2012255
-119.279,48.103,2012255
-119.255,47.964,2012255
-119.258,47.974,2012255
-119.305,48.09,2012255
-119.308,48.099,2012255
-119.29,47.98,2012255
-119.303,48.029,2012255
-119.32,48.088,2012255
-119.322,48.098,2012255
-119.334,48.086,2012255
-119.962,48.219,2012255
-119.976,48.268,2012255
-119.976,48.217,2012255
-119.994,48.225,2012255
-120.008,48.274,2012255
-120.003,48.203,2012255
-120.065,48.104,2012255
-120.137,48.196,2012255
-120.169,48.202,2012255
-120.157,47.798,2012255
-120.18,47.724,2012255
-120.2,47.792,2012255
-120.217,47.8,2012255
-120.244,47.787,2012255
-120.246,47.796,2012255
-120.275,47.793,2012255
-120.403,47.41,2012255
-120.414,47.449,2012255
-120.426,47.387,2012255
-120.446,47.455,2012255
-120.432,47.356,2012255
-120.446,47.354,2012255
-120.472,47.391,2012255
-120.518,47.445,2012255
-120.521,47.455,2012255
-120.55,47.451,2012255
-121.509,46.125,2012255
-123.129,45.625,2012255
-117.341,45.536,2012255
-117.369,45.532,2012255
-118.433,47.518,2012255
-118.455,47.546,2012255
-119.054,47.999,2012255
-119.069,47.997,2012255
-119.082,48.046,2012255
-119.095,48.095,2012255
-119.107,48.084,2012255
-119.121,48.133,2012255
-119.098,47.994,2012255
-119.13,48.111,2012255
-119.133,48.121,2012255
-119.142,48.1,2012255
-119.159,48.108,2012255
-119.162,48.117,2012255
-119.164,48.127,2012255
-119.174,48.106,2012255
-119.17,48.036,2012255
-119.188,48.104,2012255
-119.191,48.114,2012255
-119.196,48.133,2012255
-119.173,47.995,2012255
-119.208,48.122,2012255
-119.215,48.091,2012255
-119.217,48.1,2012255
-119.22,48.11,2012255
-119.189,47.942,2012255
-119.192,47.952,2012255
-119.195,47.962,2012255
-119.204,47.94,2012255
-119.209,47.96,2012255
-119.296,48.111,2012255
-119.31,48.109,2012255
-119.317,48.078,2012255
-119.34,48.105,2012255
-119.399,48.048,2012255
-119.947,48.221,2012255
-119.956,48.25,2012255
